gender,text
1,Robbie E Responds To Critics After Win Against Eddie Edwards In The WorldTitleSeries
1,It felt like they were my friends and I was living the story with them retired IAN1
1,i absolutely adore when louis starts the songs it hits me hard but it feels good
1,Hi - Looking at the url - do you use ?! Don't typically see an advanced user on the !
0,Watching Neighbours on Sky+ catching up with the Neighbs!! Xxx        Xxx
0,"Ive seen people on the train with lamps, chairs, tvs etc"
1,"Gala Bingo clubs bought for 241m: The UK's largest High Street bingo operator, Gala, is being taken over by"
0,the pic defines all mcd fangirls/fanboys and mcd shippers xD
0,just how lovely is the tree this year! Never seen it as gorgeous as this Autumn colour
0,Just put my ass on the line for you and this is how you repay me.
0,will i even need sound effects for the diviners tonight
0,It's a glow of satisfaction re The Glow
0,lmao   dude I'm hella scared for next episode bc the ending to yesterday's
1,Ditto - I'm still learning the favourites and retweet stuff - least it sucks less than Facebook haha :P
1,I do but I don't understand how to get to the server to get it
0,thank you for the retweets
0,All the girls went to sleep and the guys just sat in the floor and watched us  
0,I'm on the right side   xxx
1,"YALL LMFAOO RIGHT WHEN THE CHORUS CAME ON, A TEAR ROLLED DOWN HIS FACE"
1,James Bond premier night at the in Oxted with . Let's hope it lives up to expectation! SPECTRE
0,except once the Hallmark movies start I won't get anything done!!     
0,You leave the group chat for more than 2 mins and you miss made shit
1,As opposed to Pump where it's like HI HOPE YOU LIKE DOING JUMPS WHERE YOU SPREAD YOUR FEET ACROSS THE ENTIRE STAGE
1,All the magic in Hath No FURY is based on REAL Magick!
0,"Me the week of Brandon's birthday: there's no such thing as a birthday week u weirdo Me November 1st: it's my birthday month, bow down to me"
1,And got more yards AND points than the Jets gave up all season.
1,Did Alot Up In The Past Ion Wont Back
0,This boy was on the El wit his 3 daughters and they all was under 5
1,I mean it's not like Mainstream new media is supposed to feed you the fact nowadays...
1,How many followers do you get everyday? I got 1 in the last day. Growing daily with
1,Artist of the Year AMAs HO FAME
1,mheshimiwa travellers along that stretch of the road (lubao) r hurting and nobody seems to be raising this issue!
1,Greenville Thursday. Yall holla you need anything. Know I'm the plug
0,I went to the wrong Nandos but I found you eventually 10chilliesequalsfreenandos
1,Cardiff or drew with the over 1.5 match goals sounds good to me
0,"Those who break the rules are scum, but those who abandon their friends are worse than scum"
1,"Gala Bingo clubs bought for 241m: The UK's largest High Street bingo operator, Gala, is being taken over by"
0,"VIDEO: James Bond Spectre world premiere: After months of build up Spectre, the latest UK"
1,Best thing about having an audition on the west side is being able to eat lunch at Komodo
1,Discipline is the bridge between goals and accomplishment. - Jim Rohn
1,"In the last 20 minutes that Wednesday fan has tweeted about us 3 times, no, not obsessed, not even a little bit               "
0,"Once it is complete, it will lift off and attempt to connect with the alpha point of the rift we are observing. (1-2)"
1,Triggered Email: The Killer Conversion App
0,camerons side of the bed smells SO bad
0,are u going to the 1.30 one ??
1,NLT Boii make the wafflw link to the reference then the word count should clear up lol
0,Am I the only one who loves the part with Merlin and Regina's face? :D OUAT
1,"Styles always remember, never forget you're the best and the greatest in the world just being you always you till the end of time YOU"
1,The POLITICS of evidence + results in international development. - Looks great. h/t ids +
0,"Please God, let me get a house that has a fireplace in the bedroom!! I have such great ideas for such a room.."
0,that's the 8% they have hidden.. UMPH.
